Type,Part Number,Brand,Model,Rank,Benchmark,Samples,URL
HDD,ST500DM009,Seagate,Barracuda 500GB (2016),60,83.6,8482,https://hdd.userbenchmark.com/Seagate-Barracuda-500GB-2016/Rating/3909
HDD,WD40EZRZ,WD,Blue 4TB (2015),61,83.6,73034,https://hdd.userbenchmark.com/WD-Blue-4TB-2015/Rating/3523
HDD,ST1000NM0033,Seagate,Constellation ES.3 1TB,62,83.5,6462,https://hdd.userbenchmark.com/SpeedTest/7297/ST1000NM0033-9ZM173
HDD,PH3400U-1I72,Toshiba,MD04ACA400 4TB,63,83.3,6639,https://hdd.userbenchmark.com/Toshiba-MD04ACA400-4TB/Rating/3202
HDD,WD40PURZ,WD,Purple Surveillance 4TB (2017),64,83.3,4809,https://hdd.userbenchmark.com/SpeedTest/433989/WDC-WD40PURZ-85T
HDD,WD1003FZEX,WD,Black 1TB (2013),65,83,182468,https://hdd.userbenchmark.com/WD-Black-1TB-2013/Rating/1822
HDD,ST2000VN004,Seagate,IronWolf 2TB (2016),66,82.8,3203,https://hdd.userbenchmark.com/SpeedTest/245098/ST2000VN004-2E4164
HDD,ST1000DX001,Seagate,Desktop SSHD 1TB,67,82.8,80351,https://hdd.userbenchmark.com/Seagate-Desktop-SSHD-1TB/Rating/1784
HDD,ST2000VX008,Seagate,SkyHawk 2TB (2016),68,82.5,4712,https://hdd.userbenchmark.com/SpeedTest/211060/ST2000VX008-2E3164
HDD,WD10EZEX,WD,Blue 1TB (2012),69,82.5,2129161,https://hdd.userbenchmark.com/WD-Blue-1TB-2012/Rating/1779
HDD,WD3003FZEX,WD,Black 3TB (2013),70,82.5,12001,https://hdd.userbenchmark.com/SpeedTest/5002/WDC-WD3003FZEX-00Z4SA0
HDD,ST1000DX002,Seagate,FireCuda SSHD 1TB (2016),71,82.4,41894,https://hdd.userbenchmark.com/Seagate-FireCuda-SSHD-1TB-2016/Rating/3902
HDD,WD3000FYYZ,WD,Re 3TB (2012),72,82.3,1247,https://hdd.userbenchmark.com/WD-Re-3TB-2012/Rating/2665
HDD,,Toshiba,DT01ACA100 1TB,73,82.1,572949,https://hdd.userbenchmark.com/Toshiba-DT01ACA100-1TB/Rating/2737
HDD,WD4000F9YZ,WD,Se 4TB,74,81.9,1223,https://hdd.userbenchmark.com/WD-Se-4TB/Rating/1823
HDD,ST4000DM005,Seagate,Barracuda 4TB (2016),75,81.7,23624,https://hdd.userbenchmark.com/Seagate-Barracuda-4TB-2016/Rating/3899
HDD,WD60PURZ,WD,Purple Surveillance 6TB (2017),76,81.2,851,https://hdd.userbenchmark.com/SpeedTest/342114/WDC-WD60PURZ-85ZUFY1
HDD,WD80PURZ,WD,Purple Surveillance 8TB (2017),77,80.8,178,https://hdd.userbenchmark.com/SpeedTest/382445/WDC-WD80PURZ-85YNPY0
HDD,WD4000FYYZ,WD,Re 4TB (2012),78,80.2,3035,https://hdd.userbenchmark.com/SpeedTest/1815/WDC-WD4000FYYZ-01UL1B0
HDD,WD60EFAX,WD,Red 6TB (2019),79,80.1,170,https://hdd.userbenchmark.com/SpeedTest/748440/WDC-WD60EFAX-68SHWN0
HDD,WD1002F9YZ,WD,Se 1TB (2013),80,80,1571,https://hdd.userbenchmark.com/SpeedTest/11078/WDC-WD1002F9YZ-09H1JL0
HDD,WD5003AZEX,WD,Black 500GB (2012),81,79.9,16166,https://hdd.userbenchmark.com/SpeedTest/2070/WDC-WD5003AZEX-00K1GA0
HDD,,Hitachi,HDS723030BLE640 3TB,82,79.8,651,https://hdd.userbenchmark.com/SpeedTest/4601/Hitachi-HDS723030BLE640
HDD,ST1000VN002,Seagate,IronWolf 1TB (2016),83,79.7,1358,https://hdd.userbenchmark.com/Seagate-IronWolf-1TB-2016/Rating/3904
HDD,HDWD105XZSTA,Toshiba,HDWD105 500GB,84,79.7,5593,https://hdd.userbenchmark.com/SpeedTest/67919/TOSHIBA-HDWD105
HDD,HDWD105EZSTA,Toshiba,HDWD105 500GB,84,79.7,5593,https://hdd.userbenchmark.com/SpeedTest/67919/TOSHIBA-HDWD105
HDD,HDWD105UZSVA,Toshiba,HDWD105 500GB,84,79.7,5593,https://hdd.userbenchmark.com/SpeedTest/67919/TOSHIBA-HDWD105
HDD,PH3300U-1I72,Toshiba,MD04ACA300 3TB,85,79.4,120,https://hdd.userbenchmark.com/SpeedTest/31118/TOSHIBA-MD04ACA300
HDD,WD4003FZEX,WD,Black 4TB (2013),86,79.2,15158,https://hdd.userbenchmark.com/SpeedTest/3505/WDC-WD4003FZEX-00Z4SA0
HDD,ST8000VN0022,Seagate,IronWolf 8TB (2016),87,78.4,280,https://hdd.userbenchmark.com/SpeedTest/210875/ST8000VN0022-2EL112
HDD,ST4000DM000,Seagate,Desktop HDD 4TB (2013),88,78.4,51078,https://hdd.userbenchmark.com/Seagate-Desktop-HDD-4TB-2013/Rating/1598
HDD,ST2000VN000,Seagate,NAS HDD 2TB,89,78.3,2887,https://hdd.userbenchmark.com/SpeedTest/9942/ST2000VN000-1H3164
HDD,ST1000VX005,Seagate,SkyHawk 1TB (2016),90,78.3,4521,https://hdd.userbenchmark.com/SpeedTest/225246/ST1000VX005-2EZ102
HDD,ST4000VN000,Seagate,NAS HDD 4TB,91,78.1,3192,https://hdd.userbenchmark.com/Seagate-NAS-HDD-4TB/Rating/2669
HDD,,Seagate,ST1500DM003-9YN16G 1.5TB,92,77.8,4032,https://hdd.userbenchmark.com/SpeedTest/2739/ST1500DM003-9YN16G
HDD,,Seagate,ST2000VM003-1CT164 2TB,93,77.7,7880,https://hdd.userbenchmark.com/SpeedTest/7562/ST2000VM003-1CT164
HDD,WD60EFRX,WD,Red 6TB (2014),94,77.7,6874,https://hdd.userbenchmark.com/WD-Red-6TB-2014/Rating/2663
HDD,,Seagate,ST4000DM 000-1CD168 4TB,95,77.3,14,https://hdd.userbenchmark.com/SpeedTest/2310/ST4000DM-000-1CD168
HDD,,Hitachi,HDS723020BLE640 2TB,96,77,2109,https://hdd.userbenchmark.com/SpeedTest/1260/Hitachi-HDS723020BLE640
HDD,WD80EFZX,WD,Red 8TB (2016),97,76.9,2918,https://hdd.userbenchmark.com/SpeedTest/124577/WDC-WD80EFZX-68UW8N0
HDD,,WD,WD5000AZLX-00K4KA0 500GB,98,76.9,28090,https://hdd.userbenchmark.com/SpeedTest/5409/WDC-WD5000AZLX-00K4KA0
HDD,ST10000VN0004,Seagate,IronWolf 10TB (2016),99,76.9,155,https://hdd.userbenchmark.com/SpeedTest/161315/ST10000VN0004-1ZD101
HDD,WD40EFRX,WD,Red 4TB (2013),100,76.8,37551,https://hdd.userbenchmark.com/WD-Red-4TB-2013/Rating/3525
HDD,HUS724020ALA640,Hitachi,UltraStar 7K4000 2TB,101,76.8,1816,https://hdd.userbenchmark.com/SpeedTest/10357/HGST-HUS724020ALA640
HDD,ST3000VN000,Seagate,NAS HDD 3TB,102,76.8,2306,https://hdd.userbenchmark.com/SpeedTest/3909/ST3000VN000-1H4167
HDD,,Seagate,ST1000VM002-1CT162 1TB,103,76.5,24123,https://hdd.userbenchmark.com/SpeedTest/11140/ST1000VM002-1CT162
HDD,,Toshiba,DT01ACA050 500GB,104,76.4,122556,https://hdd.userbenchmark.com/SpeedTest/1379/TOSHIBA-DT01ACA050
HDD,WD60EZRZ,WD,Blue 6TB (2015),105,76.2,7074,https://hdd.userbenchmark.com/WD-Blue-6TB-2015/Rating/3910
HDD,WD3001FAEX,WD,Black 3TB (2012),106,76.2,997,https://hdd.userbenchmark.com/SpeedTest/8039/WDC-WD3001FAEX-00MJRA0
HDD,WD50EZRX,WD,Green 5TB (2014),107,75.8,1243,https://hdd.userbenchmark.com/WD-Green-5TB-2014/Rating/3517
HDD,WD50EFRX,WD,Red 5TB (2014),108,75.6,793,https://hdd.userbenchmark.com/WD-Red-5TB-2014/Rating/3524
HDD,WD2000F9YZ,WD,Se 2TB (2013),109,75,1372,https://hdd.userbenchmark.com/SpeedTest/11122/WDC-WD2000F9YZ-0
HDD,WD30PURZ,WD,Purple Surveillance 3TB (2017),110,74.8,1442,https://hdd.userbenchmark.com/SpeedTest/329567/WDC-WD30PURZ-85GU6Y0
HDD,WD60EZRX,WD,Green 6TB (2014),111,74.2,2876,https://hdd.userbenchmark.com/WD-Green-6TB-2014/Rating/3518
HDD,WD4001FAEX,WD,Black 4TB (2012),112,73.2,3207,https://hdd.userbenchmark.com/WD-Black-4TB-2012/Rating/1599
HDD,WD2001FFSX,WD,Red Pro 2TB (2014),113,73.1,524,https://hdd.userbenchmark.com/SpeedTest/25063/WDC-WD2001FFSX-68JNU
HDD,ST6000VX0023,Seagate,SkyHawk 6TB (2016),114,72.9,95,https://hdd.userbenchmark.com/SpeedTest/219872/ST6000VX0023-2EF110
HDD,WD30EZRZ,WD,Blue 3TB (2015),115,72.9,48575,https://hdd.userbenchmark.com/WD-Blue-3TB-2015/Rating/3522
HDD,,Hitachi,HDS724040ALE640 4TB,116,72.7,4811,https://hdd.userbenchmark.com/SpeedTest/1070/HGST-HDS724040ALE640
HDD,ST10000DM0004,Seagate,Barracuda Pro 10TB (2016),117,72.6,154,https://hdd.userbenchmark.com/Seagate-Barracuda-Pro-10TB-2016/Rating/3901
HDD,HUS724030ALE640,Hitachi,UltraStar 7K4000 3TB,118,72.5,54,https://hdd.userbenchmark.com/SpeedTest/14588/Hitachi-HUS724030ALE640
HDD,WD40PURX,WD,Purple 4TB (2014),119,72.5,4845,https://hdd.userbenchmark.com/SpeedTest/13618/WDC-WD40PURX-64GVNY0
HDD,,Hitachi,HUA723030ALA640 3TB,120,72.2,6987,https://hdd.userbenchmark.com/SpeedTest/5187/Hitachi-HUA723030ALA640
HDD,0S03664,HGST,Deskstar NAS 4TB,121,72.1,5623,https://hdd.userbenchmark.com/HGST-Deskstar-NAS-4TB/Rating/1971
HDD,,Seagate,ST2000NM0011 2TB,122,72,2287,https://hdd.userbenchmark.com/SpeedTest/3761/ST2000NM0011
HDD,,Seagate,ST33000650NS 3TB,123,72,1678,https://hdd.userbenchmark.com/SpeedTest/9344/ST33000650NS
HDD,ST4000DX001,Seagate,Desktop SSHD 4TB,124,71.8,13720,https://hdd.userbenchmark.com/Seagate-Desktop-SSHD-4TB/Rating/2668
HDD,STCL4000400,Seagate,Desktop SSHD 4TB,124,71.8,13720,https://hdd.userbenchmark.com/Seagate-Desktop-SSHD-4TB/Rating/2668
HDD,ST6000DM004,Seagate,Barracuda Pro 6TB (2016),125,71.8,172,https://hdd.userbenchmark.com/Seagate-Barracuda-Pro-6TB-2016/Rating/3900
HDD,WD2000FYYZ,WD,Re 2TB (2012),126,71.6,3974,https://hdd.userbenchmark.com/SpeedTest/1402/WDC-WD2000FYYZ-5
HDD,WD20PURZ,WD,Purple Surveillance 2TB (2017),127,71.5,5837,https://hdd.userbenchmark.com/SpeedTest/306805/WDC-WD20PURZ-85GU6Y0
HDD,ST8000DM004,Seagate,Barracuda 8TB (2017),128,71.3,14016,https://hdd.userbenchmark.com/SpeedTest/323996/ST8000DM004-2CX188
HDD,HDWA130XZSTA,Toshiba,E300 3TB,129,70.8,979,https://hdd.userbenchmark.com/Toshiba-E300-3TB/Rating/3596
HDD,HDWA130EZSTA,Toshiba,E300 3TB,129,70.8,979,https://hdd.userbenchmark.com/Toshiba-E300-3TB/Rating/3596
HDD,ST3000DM007,Seagate,Barracuda 3TB (2017),130,70.6,13383,https://hdd.userbenchmark.com/SpeedTest/337813/ST3000DM007-1WY10G
HDD,,Seagate,ST32000645NS 2TB,131,70.5,803,https://hdd.userbenchmark.com/SpeedTest/9954/Seagate-ST32000645NS
HDD,ST8000VX0022,Seagate,SkyHawk 8TB (2016),132,70.3,43,https://hdd.userbenchmark.com/SpeedTest/228255/ST8000VX-ST8000VX0022-2EJ
HDD,ST4000DM004,Seagate,Barracuda 4TB (2017),133,70.3,86699,https://hdd.userbenchmark.com/SpeedTest/243570/ST4000DM004-2CV104
HDD,,Seagate,Expansion Desk 4TB,134,69.6,11670,https://hdd.userbenchmark.com/SpeedTest/7034/Seagate-Expansion-Desk
