Type,Part Number,Brand,Model,Rank,Benchmark,Samples,URL
CPU,,Intel,Core i7-3720QM,379,65.6,8782,https://cpu.userbenchmark.com/SpeedTest/1619/IntelR-CoreTM-i7-3720QM-CPU---260GHz
CPU,FD8350FRHKBOX,AMD,FX-8350,380,65.5,292884,https://cpu.userbenchmark.com/AMD-FX-8350/Rating/1489
CPU,,Intel,Core i5-3330S,381,65.5,3060,https://cpu.userbenchmark.com/SpeedTest/4366/IntelR-CoreTM-i5-3330S-CPU---270GHz
CPU,,Intel,Xeon E5-2670 v2,382,65.4,231,https://cpu.userbenchmark.com/SpeedTest/18414/IntelR-XeonR-CPU-E5-2670-v2---250GHz
CPU,,Intel,Core i7-4850HQ,383,65.4,665,https://cpu.userbenchmark.com/SpeedTest/7877/IntelR-CoreTM-i7-4850HQ-CPU---230GHz
CPU,BX80646I34340,Intel,Core i3-4340,384,65.3,698,https://cpu.userbenchmark.com/Intel-Core-i3-4340/Rating/2877
CPU,,Intel,Xeon W3530,385,65.3,4181,https://cpu.userbenchmark.com/SpeedTest/3000/IntelR-XeonR-CPU-----------W3530----280GHz
CPU,BX80684G5400,Intel,Pentium Gold G5400,386,65.2,10723,https://cpu.userbenchmark.com/SpeedTest/484278/IntelR-PentiumR-Gold-G5400-CPU---370GHz
CPU,,Intel,Core i7-1160G7,387,65.2,2,https://cpu.userbenchmark.com/SpeedTest/1300243/11th-Gen-IntelR-CoreTM-i7-1160G7---120GHz
CPU,BX80677I37100,Intel,Core i3-7100,388,65.1,59296,https://cpu.userbenchmark.com/Intel-Core-i3-7100/Rating/3891
CPU,BX80662I36300T,Intel,Core i3-6300T,389,65,106,https://cpu.userbenchmark.com/SpeedTest/75733/IntelR-CoreTM-i3-6300T-CPU---330GHz
CPU,AW8063801013511,Intel,Core i7-3610QM,390,64.9,27825,https://cpu.userbenchmark.com/Intel-Core-i7-3610QM/Rating/2730
CPU,,Intel,Core i7 930,391,64.8,19440,https://cpu.userbenchmark.com/SpeedTest/79/IntelR-CoreTM-i7-CPU---------930----280GHz
